STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/23/2001,13.87,623,725,0,,,52,56,47,,100,120,0,25.1,31.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/24/2001,5.14,1321,1320,0.07,,,43,48,38,,200,190,0,13,15,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/25/2001,6.26,2144,1438,0,,,40,48,31,,100,30,0,17,21,1,,,,,,,,,,1,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/26/2001,9.17,1219,1219,0,,,42,50,34,,10,10,0,15,17,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/27/2001,2.46,1517,1519,0,,,42,44,29,,320,310,0,8.1,10.1,1,,,,,,,,,,1,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/28/2001,5.14,2317,2317,0.16,,,36,43,28,,120,120,0,14.1,15,1,1,,,,,,,,,1,,,1,,,,1,1,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/29/2001,13.65,608,630,0.09,,,42,47,37,,220,220,0,29.1,36.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/30/2001,15.21,1632,1604,0.01,,,42,44,40,,190,200,0,21.9,28,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/31/2001,6.71,104,106,0,,,43,47,38,0,210,200,0,17,21,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/1/2001,4.92,2103,2059,0.06,,,43,50,36,,210,210,0,21,29.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/2/2001,11.41,1224,1234,0.29,,,42,48,35,,280,250,0,21.9,29.1,1,,,,,,,,,,1,1,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/3/2001,5.14,6,5,0.17,,,42,47,37,,190,190,0,17.9,21.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/4/2001,10.96,2004,2003,0.37,,,46,52,40,,230,230,0,21,25.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/5/2001,7.16,242,242,0,,,41,44,38,,220,230,0,21,25.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/6/2001,9.17,1516,1626,0.04,,,37,42,32,,10,360,0,19.9,25.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/7/2001,4.7,2149,2137,0,,,34,41,26,,130,130,0,12.1,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/8/2001,4.7,2349,2349,0.27,,,34,37,31,,90,90,0,13,15,1,,,,,,,,,,1,,,1,,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/9/2001,8.28,829,829,0,,,41,47,34,,70,70,0,14.1,16.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/10/2001,8.72,2005,2157,0,,,39,47,30,,110,110,0,15,17,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/11/2001,9.62,1457,1542,0,,,41,49,32,,360,360,0,17,19.9,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/12/2001,4.92,314,1136,0,,,39,47,30,,40,40,0,13,14.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/13/2001,6.49,1558,1304,0,,,38,47,29,,10,30,0,13,16.1,1,,,,,,,,,,1,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/14/2001,6.04,1834,1842,0,,,37,44,30,,230,240,0,15,17.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/15/2001,9.17,2220,2220,0.17,,,37,43,31,0,10,10,0,17.9,21,1,,,,,,,,,,1,,,1,,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/16/2001,6.93,1649,56,0.44,,5,35,39,31,,100,360,0,13,16.1,1,,,,,,,,,,1,,,1,,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/17/2001,8.95,1803,2155,0.06,,,42,50,34,,120,100,0,16.1,17.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/18/2001,4.03,340,341,0.07,,,44,50,37,,120,110,0,16.1,17,1,,,,,,,,,,1,,,1,,,,1,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/19/2001,8.72,2033,1541,0,,,43,51,34,,30,360,0,15,17.9,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/20/2001,4.7,2019,2018,0,,,45,54,35,,110,110,0,10.1,13,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/21/2001,3.58,1542,1541,0.13,,,48,56,39,,230,230,0,10.1,13,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/22/2001,7.16,1329,1329,0,,,44,50,37,,10,360,0,16.1,19.9,1,,,,,,,,,,1,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/23/2001,5.14,1942,1758,0,,,42,47,36,,200,220,0,14.1,17.9,1,1,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/24/2001,3.8,2203,27,0,,,43,49,37,,40,210,0,10.1,13,,,,,,,,,,,,1,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/25/2001,6.71,1417,1256,0,,,42,49,35,,40,10,0,14.1,16.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/26/2001,7.83,1033,1328,0,,,40,49,30,0,30,360,0,16.1,19.9,1,,,,,,,,,,1,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/27/2001,5.59,607,607,0,,,44,55,33,0,30,40,0,13,14.1,1,,,,,,,,,,1,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/28/2001,5.37,2105,2105,0,,,42,51,33,0,40,40,0,16.1,17.9,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/1/2001,9.4,1736,1736,0.23,,,41,46,35,0,210,210,0,29.1,36.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/2/2001,11.18,1318,1317,0,,,41,46,35,0,250,240,0,21,25.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/3/2001,4.7,2316,2315,0,,,39,47,31,0,110,100,0,13,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/4/2001,9.62,1417,1416,0,,,44,54,33,0,100,100,0,21,25.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/5/2001,6.49,2359,1443,0,,,51,59,43,0,10,360,0,10.1,15,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/6/2001,8.72,1958,1420,0,,,51,62,40,0,10,10,0,14.1,16.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/7/2001,3.8,2305,2305,0.07,,,52,66,38,0,240,250,0,15,17.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/8/2001,6.71,424,410,0.13,,,47,51,43,0,220,210,0,17.9,21.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/9/2001,3.58,1237,1237,0.04,,,45,50,40,,50,40,0,13,16.1,1,,,,,,,,,,1,1,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/10/2001,5.37,1427,1447,0,,,45,49,40,,230,200,0,14.1,16.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/11/2001,4.92,1152,1008,0,,,45,50,40,,190,210,0,10.1,13,1,,,,,,,,,,1,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/12/2001,8.05,2030,2015,0,,,47,50,44,,200,200,0,16.1,21,1,,,,,,,,,,1,1,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/13/2001,13.42,1243,1242,0.13,,,45,50,39,,250,250,0,25.1,34.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/14/2001,5.82,1532,1245,0,,,43,50,36,0,190,220,0,13,16.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/15/2001,7.61,2255,2016,0.32,,,42,44,39,0,160,40,0,14.1,17,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/16/2001,6.71,1419,1407,0,,,41,45,36,0,230,230,0,15,19.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/17/2001,4.47,1521,1521,0.01,,,46,51,40,0,230,220,0,13,15,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/18/2001,11.18,2223,2041,0.58,,,49,53,44,0,230,190,0,21.9,30,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/19/2001,10.96,1051,1259,0.01,,,44,49,38,0,220,220,0,19.9,25.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/20/2001,7.61,2028,2028,0,,,45,54,36,,30,40,0,19.9,23,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/21/2001,9.17,839,928,0,,,46,53,38,,30,40,0,16.1,23,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/22/2001,5.82,1117,1116,0,,,46,57,34,,20,50,0,12.1,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/23/2001,5.37,1017,1008,0,,,49,59,38,,20,10,0,12.1,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/24/2001,6.26,1916,1914,0.21,,,52,63,41,,90,90,0,17.9,21.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/25/2001,10.29,1718,1715,0.25,,,48,55,40,0,220,220,0,19.9,25.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/26/2001,7.16,753,747,0.16,,,44,50,37,0,220,220,0,17,21.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/27/2001,8.5,2302,2359,0.41,,,43,48,37,0,220,200,0,17.9,25.1,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/28/2001,10.51,537,340,0.02,,,46,49,42,0,230,220,0,17.9,25.1,1,,,,,,,,,,1,1,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/29/2001,10.07,1952,2024,0,,,44,49,39,0,210,210,0,21.9,29.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/30/2001,3.36,,,0.07,,,,53,42,,220,220,0,12.1,12.1,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/31/2001,11.41,1558,1558,0.09,,,47,53,41,0,230,220,0,25.9,36,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/1/2001,7.38,519,2359,0.21,,,44,50,37,,210,170,0,14.1,17.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/2/2001,4.47,1139,1138,0.29,,,40,45,35,,70,60,0,13,15,1,,,,1,,,,,,1,,,1,,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/3/2001,3.8,1853,1412,0,,,41,46,36,,100,100,0,8.1,10.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/4/2001,5.37,1438,1437,0,,,82,67,34,,250,250,0,10.1,13,1,,,,,,,,,,1,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/5/2001,8.95,1509,1444,0.2,,,45,49,41,,200,200,0,21,25.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/6/2001,9.4,2359,0,0.06,,,43,47,38,0,210,210,0,17.9,23,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/7/2001,7.16,1659,1658,0,,,44,50,37,0,230,230,0,15,17.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/8/2001,3.8,1324,1323,0,,,45,51,38,,30,30,0,12.1,14.1,1,,,,,,,,,,1,,,1,,1,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/9/2001,10.51,1557,1539,0,,,45,53,36,,230,240,0,17,21.9,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/10/2001,8.5,2328,2358,0.78,,,41,44,38,0,10,360,0,17,21.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/11/2001,8.28,1022,941,0,,,47,56,37,0,10,10,0,19.9,25.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/12/2001,10.29,2148,1633,0.06,,,43,47,38,0,220,250,0,17.9,25.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/13/2001,8.05,324,55,0,,,44,50,38,0,200,180,0,14.1,17.9,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/14/2001,6.49,2224,2224,0,,,44,52,36,0,30,30,0,16.1,17,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/15/2001,6.71,2140,2129,0,,,51,64,38,0,130,130,0,14.1,17.9,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/16/2001,5.59,2031,2006,0.24,,,55,65,45,0,240,250,0,17.9,25.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/17/2001,8.28,834,758,0.23,,,50,54,45,0,190,170,0,17,23,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/18/2001,5.82,1214,1158,0.1,,,50,57,43,0,210,210,0,13,16.1,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/19/2001,3.8,1345,1201,0,,,49,56,42,0,210,200,0,10.1,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/20/2001,7.38,1412,1431,0,,,51,59,43,0,20,10,0,15,17.9,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/21/2001,8.5,1755,1640,0,,,51,61,40,0,220,220,0,16.1,21.9,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/22/2001,8.72,1434,1346,0.05,,,47,51,43,0,210,230,0,15,19.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/23/2001,5.14,1612,1633,0.03,,,53,59,46,0,200,230,0,12.1,14.1,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/24/2001,5.37,1210,1209,0,,,60,69,50,0,230,190,0,10.1,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/25/2001,6.04,1655,1343,0,,,60,71,49,0,360,340,0,12.1,16.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/26/2001,6.71,911,856,0,,,57,65,48,0,200,220,0,14.1,17.9,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/27/2001,6.26,1041,945,0.03,,,51,56,46,0,230,230,0,12.1,14.1,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/28/2001,10.96,1715,1752,0.13,,,47,51,43,0,230,220,0,21,28,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/29/2001,11.86,1209,1217,0.18,,,49,53,44,0,220,220,0,21.9,32,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/30/2001,14.32,1121,1203,0.57,,,48,53,42,0,220,210,0,29.1,40,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/1/2001,9.62,1318,329,0.01,,,48,54,42,0,210,220,0,19.9,25.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/2/2001,4.92,2233,2232,0,,,49,57,41,0,30,40,0,13,14.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/3/2001,3.36,1735,1734,0,,,49,59,39,0,10,360,0,10.1,13,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/4/2001,6.71,2145,2145,0.08,,,50,57,43,0,210,200,0,19.9,25.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/5/2001,10.29,2102,2100,0.01,,,49,55,42,0,50,50,0,17,23,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/6/2001,5.59,726,621,0,,,51,61,40,0,30,40,0,12.1,14.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/7/2001,3.8,1742,1146,0,,,56,69,42,0,10,220,0,10.1,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/8/2001,7.61,1220,1415,0,,,53,58,47,0,30,40,0,15,17,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/9/2001,2.91,1427,1324,0,,,50,60,40,0,280,220,0,8.9,13,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/10/2001,5.14,2349,2349,0,,,52,62,41,0,10,20,0,10.1,12.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/11/2001,6.71,1702,1911,0,,,58,69,47,0,10,350,0,12.1,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/12/2001,4.7,1710,1717,0.01,,,58,67,49,,200,210,0,13,15,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/13/2001,5.59,2102,2052,0.05,,,56,63,49,,240,230,0,12.1,17,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/14/2001,10.96,2341,2354,0.54,,,50,53,47,,210,210,0,17,23,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/15/2001,8.5,2359,1901,0.56,,,53,59,47,,200,240,0,21.9,33.1,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/16/2001,11.41,1,0,0.01,,,52,59,44,0,210,200,0,25.1,33.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/17/2001,2.46,1451,1450,0,,,49,56,42,0,200,200,0,8.9,12.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/18/2001,4.7,1620,1417,0,,,53,61,45,0,290,260,0,8.9,13,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/19/2001,9.84,2226,817,0,,,53,60,46,0,40,210,0,17.9,21,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/20/2001,7.61,1707,1706,0,,,55,65,45,,10,20,0,13,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/21/2001,7.38,2349,1541,0,,,61,74,47,0,10,360,0,14.1,17,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/22/2001,6.04,9,8,0,,,69,83,54,,10,10,0,13,15,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/23/2001,4.7,1740,1651,0,,,69,84,54,,240,260,0,13,17,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/24/2001,5.37,1934,1601,0,,,61,70,52,0,360,290,0,10.1,14.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/25/2001,4.92,1728,2230,0,,,66,84,48,0,360,30,0,12.1,13,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/26/2001,4.7,110,51,0,,,63,74,52,0,30,30,0,15,17.9,,,,,,,,,,,,,,,,,,,,,
